在原excel中的第几行(行号从1开始),真实数据序号(序号从0开始),转弯角度,转弯速度,vehicleplatenumber,device_num,direction_angle,lng,lat,acc_state,right_turn_signals,left_turn_signals,hand_brake,foot_brake,location_time,gps_speed,mileage
6889,6887,349.0,49.0,AA00160,AAA9102160,350.0,114.188213,26.603573,1,0,0,0,0,2018/9/9 4:53,49.0,15017
6941,6939,356.0,77.0,AA00160,AAA9102160,3.0,114.184338,26.611038,1,0,0,0,0,2018/9/9 4:54,77.0,15018
7374,7372,347.0,49.0,AA00160,AAA9102160,350.0,114.211806,26.62723,1,0,0,0,0,2018/9/9 5:01,49.0,15024
7431,7429,355.0,57.0,AA00160,AAA9102160,359.0,114.213286,26.632801,1,0,0,0,0,2018/9/9 5:02,57.0,15025
7440,7438,350.0,59.0,AA00160,AAA9102160,5.0,114.213061,26.634146,1,0,0,0,0,2018/9/9 5:02,59.0,15025
7554,7552,356.0,84.0,AA00160,AAA9102160,356.0,114.226665,26.6487,1,0,0,0,0,2018/9/9 5:04,84.0,15027
7570,7568,359.0,66.0,AA00160,AAA9102160,0.0,114.22627,26.651998,1,0,0,0,0,2018/9/9 5:05,66.0,15028
12192,12190,63.0,63.0,AA00160,AAA9102160,63.0,114.430698,26.7947,1,0,0,0,0,2018/9/9 6:23,63.0,15055
12618,12616,90.0,62.0,AA00160,AAA9102160,90.0,114.508616,26.817691,1,0,0,0,0,2018/9/9 6:30,62.0,15063
14079,14077,356.0,50.0,AA00160,AAA9102160,358.0,114.816833,26.85153,1,0,0,0,0,2018/9/9 6:55,50.0,15096
14094,14092,356.0,53.0,AA00160,AAA9102160,1.0,114.81646,26.853448,1,0,0,0,0,2018/9/9 6:55,53.0,15096
14592,14590,359.0,90.0,AA00160,AAA9102160,359.0,114.852025,26.958153,1,0,0,0,0,2018/9/9 7:03,90.0,15109
14660,14658,358.0,70.0,AA00160,AAA9102160,1.0,114.850093,26.973688,1,0,0,0,0,2018/9/9 7:04,70.0,15110
14664,14662,359.0,64.0,AA00160,AAA9102160,359.0,114.850101,26.974353,1,0,0,0,0,2018/9/9 7:05,64.0,15110
14665,14663,358.0,59.0,AA00160,AAA9102160,1.0,114.850105,26.974498,1,0,0,0,0,2018/9/9 7:05,59.0,15110
14789,14787,359.0,91.0,AA00160,AAA9102160,359.0,114.851486,26.98846,1,0,0,0,0,2018/9/9 7:07,91.0,15112
14891,14889,359.0,93.0,AA00160,AAA9102160,0.0,114.847765,27.11871,1,0,0,0,0,2018/9/9 7:08,93.0,15115
14992,14990,359.0,86.0,AA00160,AAA9102160,359.0,114.85073,27.3545,1,0,0,0,0,2018/9/9 7:10,86.0,15117
15016,15014,359.0,93.0,AA00160,AAA9102160,0.0,114.850526,27.40793,1,0,0,0,0,2018/9/9 7:10,93.0,15118
15019,15017,359.0,93.0,AA00160,AAA9102160,359.0,114.850528,27.41498,1,0,0,0,0,2018/9/9 7:10,93.0,15118
15021,15019,359.0,94.0,AA00160,AAA9102160,0.0,114.850528,27.41975,1,0,0,0,0,2018/9/9 7:10,94.0,15118
15022,15020,359.0,95.0,AA00160,AAA9102160,359.0,114.850526,27.42213,1,0,0,0,0,2018/9/9 7:11,95.0,15118
15023,15021,359.0,96.0,AA00160,AAA9102160,0.0,114.850528,27.42455,1,0,0,0,0,2018/9/9 7:11,96.0,15118
16472,16470,359.0,92.0,AA00160,AAA9102160,359.0,115.16318,27.323811,1,0,0,0,0,2018/9/9 7:35,92.0,15154
16562,16560,359.0,93.0,AA00160,AAA9102160,0.0,115.13341,27.344775,1,0,0,0,0,2018/9/9 7:37,93.0,15156
16657,16655,359.0,94.0,AA00160,AAA9102160,359.0,115.1611,27.36684,1,0,0,0,0,2018/9/9 7:38,94.0,15159
16694,16692,359.0,94.0,AA00160,AAA9102160,0.0,115.15906,27.375541,1,0,0,0,0,2018/9/9 7:39,94.0,15160
16817,16815,359.0,94.0,AA00160,AAA9102160,359.0,115.19816,27.403383,1,0,0,0,0,2018/9/9 7:41,94.0,15163
16919,16917,359.0,93.0,AA00160,AAA9102160,0.0,115.16433,27.426521,1,0,0,0,0,2018/9/9 7:43,93.0,15166
19750,19748,359.0,92.0,AA00160,AAA9102160,359.0,115.125103,27.616721,1,0,0,0,0,2018/9/9 8:31,92.0,15190
19767,19765,359.0,96.0,AA00160,AAA9102160,0.0,115.124988,27.620743,1,0,0,0,0,2018/9/9 8:31,96.0,15191
21032,21030,359.0,92.0,AA00160,AAA9102160,359.0,115.286506,27.871583,1,0,0,0,0,2018/9/9 8:52,92.0,15224
21034,21032,359.0,91.0,AA00160,AAA9102160,0.0,115.286501,27.872048,1,0,0,0,0,2018/9/9 8:52,91.0,15224
21035,21033,359.0,91.0,AA00160,AAA9102160,359.0,115.286498,27.872278,1,0,0,0,0,2018/9/9 8:52,91.0,15224
21141,21139,359.0,95.0,AA00160,AAA9102160,0.0,115.28222,27.89662,1,0,0,0,0,2018/9/9 8:54,95.0,15226
21265,21263,359.0,93.0,AA00160,AAA9102160,359.0,115.284888,27.925681,1,0,0,0,0,2018/9/9 8:56,93.0,15230
21365,21363,358.0,93.0,AA00160,AAA9102160,0.0,115.283396,27.949131,1,0,0,0,0,2018/9/9 8:58,93.0,15232
24246,24244,359.0,94.0,AA00160,AAA9102160,359.0,115.77348,28.437093,1,0,0,0,0,2018/9/9 9:47,94.0,15307
24579,24577,358.0,95.0,AA00160,AAA9102160,0.0,115.760781,28.514148,1,0,0,0,0,2018/9/9 9:52,95.0,15316
24580,24578,359.0,93.0,AA00160,AAA9102160,359.0,115.76078,28.514383,1,0,0,0,0,2018/9/9 9:52,93.0,15316
24587,24585,359.0,92.0,AA00160,AAA9102160,0.0,115.760765,28.51599,1,0,0,0,0,2018/9/9 9:52,92.0,15316
24590,24588,359.0,92.0,AA00160,AAA9102160,359.0,115.760755,28.516671,1,0,0,0,0,2018/9/9 9:52,92.0,15316
24594,24592,359.0,91.0,AA00160,AAA9102160,0.0,115.760748,28.51758,1,0,0,0,0,2018/9/9 9:53,91.0,15316
24606,24604,359.0,93.0,AA00160,AAA9102160,359.0,115.760788,28.520343,1,0,0,0,0,2018/9/9 9:53,93.0,15317
24610,24608,359.0,91.0,AA00160,AAA9102160,0.0,115.760786,28.521261,1,0,0,0,0,2018/9/9 9:53,91.0,15317
24613,24611,359.0,91.0,AA00160,AAA9102160,359.0,115.760791,28.52195,1,0,0,0,0,2018/9/9 9:53,91.0,15317
24620,24618,359.0,90.0,AA00160,AAA9102160,0.0,115.760791,28.523548,1,0,0,0,0,2018/9/9 9:53,90.0,15317
