id,count,nearIds
5,6,5 6 7 11 42 43 
6,8,6 5 11 12 13 16 42 43 
7,3,7 5 8 
8,2,8 7 
9,3,9 10 17 
10,2,10 9 
11,7,11 5 6 12 13 14 16 
12,4,12 6 11 13 
13,8,13 6 11 12 16 19 42 43 
14,6,14 11 15 16 17 19 
15,4,15 14 16 17 
16,9,16 6 11 13 14 15 17 18 19 
17,7,17 9 14 15 16 18 19 
18,4,18 16 17 19 
19,7,19 13 14 16 17 18 20 
20,3,20 19 51 
21,2,21 22 
22,2,22 21 
42,5,42 5 6 13 43 
43,5,43 5 6 13 42 
45,2,45 51 
51,3,51 20 45 
56,2,56 78 
73,2,73 74 
74,2,74 73 
75,2,75 78 
77,2,77 79 
78,3,78 56 75 
79,2,79 77 
83,2,83 86 
86,2,86 83 
93,2,93 94 
94,2,94 93 
97,2,97 98 
98,2,98 97 
119,2,119 122 
122,3,122 119 123 
123,4,123 122 128 129 
124,4,124 125 128 129 
125,5,125 124 126 127 136 
126,9,126 125 127 135 136 137 138 139 140 
127,8,127 125 126 135 136 138 139 140 
128,4,128 123 124 129 
129,4,129 123 124 128 
130,6,130 131 132 133 134 137 
131,6,131 130 132 133 134 137 
132,7,132 130 131 133 134 135 137 
133,7,133 130 131 132 135 137 141 
134,6,134 130 131 132 135 136 
135,11,135 126 127 132 133 134 136 137 138 139 140 
136,10,136 125 126 127 134 135 137 138 139 140 
137,12,137 126 130 131 132 133 135 136 138 139 140 141 
138,9,138 126 127 135 136 137 139 140 141 
139,9,139 126 127 135 136 137 138 140 141 
140,9,140 126 127 135 136 137 138 139 141 
141,6,141 133 137 138 139 140 
145,2,145 146 
146,2,146 145 
164,2,164 165 
165,3,165 164 166 
166,2,166 165 
